songs,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Goodnight My Love,Paul Anka,0.288,0.0447,2,-28.441,1,0.0562,0.993,0.909,0.1,0.074,138.892,audio_features,5tjJQQgUdR5QPFK5mAruo2,spotify:track:5tjJQQgUdR5QPFK5mAruo2,https://api.spotify.com/v1/tracks/5tjJQQgUdR5QPFK5mAruo2,https://api.spotify.com/v1/audio-analysis/5tjJQQgUdR5QPFK5mAruo2,179250,4
Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87,audio_features,6zsk6uF3MxfIeHPlubKBvR,spotify:track:6zsk6uF3MxfIeHPlubKBvR,https://api.spotify.com/v1/tracks/6zsk6uF3MxfIeHPlubKBvR,https://api.spotify.com/v1/audio-analysis/6zsk6uF3MxfIeHPlubKBvR,211120,4
The Impossible Dream,Roger Williams,0.442,0.371,11,-9.759,1,0.0282,0.868,0,0.0733,0.38,93.039,audio_features,3kdGMnFYSKD7ALecbxadhg,spotify:track:3kdGMnFYSKD7ALecbxadhg,https://api.spotify.com/v1/tracks/3kdGMnFYSKD7ALecbxadhg,https://api.spotify.com/v1/audio-analysis/3kdGMnFYSKD7ALecbxadhg,139027,3
Over And Over,The Delfonics,0.644,0.517,7,-10.02,1,0.0803,0.0065,1.37e-06,0.158,0.464,169.799,audio_features,2b8QQqf8Vwb7bfz22ja8Fk,spotify:track:2b8QQqf8Vwb7bfz22ja8Fk,https://api.spotify.com/v1/tracks/2b8QQqf8Vwb7bfz22ja8Fk,https://api.spotify.com/v1/audio-analysis/2b8QQqf8Vwb7bfz22ja8Fk,253933,4
Love Is Blue,Al Martino,0.31,0.205,0,-13.525,1,0.0301,0.73,0.82,0.325,0.241,93.529,audio_features,1X3QZcv5bSyuibFazrif9u,spotify:track:1X3QZcv5bSyuibFazrif9u,https://api.spotify.com/v1/tracks/1X3QZcv5bSyuibFazrif9u,https://api.spotify.com/v1/audio-analysis/1X3QZcv5bSyuibFazrif9u,147027,4
Come And Get Your Love,The Real McCoy,0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,audio_features,7GVUmCP00eSsqc4tzj1sDD,spotify:track:7GVUmCP00eSsqc4tzj1sDD,https://api.spotify.com/v1/tracks/7GVUmCP00eSsqc4tzj1sDD,https://api.spotify.com/v1/audio-analysis/7GVUmCP00eSsqc4tzj1sDD,205933,4
Ain't Gonna Kiss Ya,The Ribbons,0.462,0.958,9,-5.588,1,0.0974,0.428,0,0.244,0.819,161.951,audio_features,4ioEUS6Sf9Negf17LhgPT0,spotify:track:4ioEUS6Sf9Negf17LhgPT0,https://api.spotify.com/v1/tracks/4ioEUS6Sf9Negf17LhgPT0,https://api.spotify.com/v1/audio-analysis/4ioEUS6Sf9Negf17LhgPT0,131760,4
The Way,Jill Scott,0.703,0.757,1,-3.612,1,0.05,0.617,0,0.106,0.696,82.008,audio_features,2eAZfqOm4EnOF9VvN50Tyc,spotify:track:2eAZfqOm4EnOF9VvN50Tyc,https://api.spotify.com/v1/tracks/2eAZfqOm4EnOF9VvN50Tyc,https://api.spotify.com/v1/audio-analysis/2eAZfqOm4EnOF9VvN50Tyc,221747,4
Lodi,Creedence Clearwater Revival,0.773,0.675,5,-8.697,1,0.0281,0.324,0.000112,0.0896,0.925,126.866,audio_features,1Ay5MiilZj2ZGQLeTWVJ6o,spotify:track:1Ay5MiilZj2ZGQLeTWVJ6o,https://api.spotify.com/v1/tracks/1Ay5MiilZj2ZGQLeTWVJ6o,https://api.spotify.com/v1/audio-analysis/1Ay5MiilZj2ZGQLeTWVJ6o,193293,4
Saint Of Me,The Rolling Stones,0.671,0.918,10,-5.775,1,0.0504,0.0049,0.0443,0.0895,0.494,121.541,audio_features,6OEpSYq8wdqnl01hsoQGQY,spotify:track:6OEpSYq8wdqnl01hsoQGQY,https://api.spotify.com/v1/tracks/6OEpSYq8wdqnl01hsoQGQY,https://api.spotify.com/v1/audio-analysis/6OEpSYq8wdqnl01hsoQGQY,314627,4
